Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Gold Star Peak,,2790939.0,summit,AK,Anchorage,BLM,428.0,2018-02-08,approved,61.44465,-149.20831,,,Anchorage B-6,Gold Star Peak,,2790939.0,summit,AK,Anchorage,BLM,428.0,2018-02-08,approved,61.44465,-149.20831,,,Anchorage B-6,Gold Star Peak,,2790939.0,summit,AK,Anchorage,BLM,428.0,2018-02-08,approved,61.44465,-149.20831,,,Anchorage B-6
Lake Ahkivgak,,,lake,AK,North Slope Borough,,430.0,2018-02-08,not approved,70.02683,-147.65448,,,Beechey Point A-2,Lake Ahkivgak,,,lake,AK,North Slope Borough,,430.0,2018-02-08,not approved,70.02683,-147.65448,,,Beechey Point A-2,Lake Ahkivgak,,,lake,AK,North Slope Borough,,430.0,2018-02-08,not approved,70.02683,-147.65448,,,Beechey Point A-2
Cardinal Creek,,2790940.0,stream,GA,	Douglas,,428.0,2018-02-08,approved,33.59439,-84.8347,33.6161,-84.86077,Rico,Cardinal Creek,,2790940.0,stream,GA,	Douglas,,428.0,2018-02-08,approved,33.594390000000004,-84.8347,33.6161,-84.86077,Rico,Cardinal Creek,,2790940.0,stream,GA,	Douglas,,428.0,2018-02-08,approved,33.594390000000004,-84.8347,33.6161,-84.86077,Rico
Marys Brook,,2790941.0,stream,MA,Middlesex,,430.0,2018-02-08,approved,42.47243,-71.4364,42.48256,-71.4349,Maynard,Marys Brook,,2790941.0,stream,MA,Middlesex,,430.0,2018-02-08,approved,42.472429999999996,-71.4364,42.48256,-71.4349,Maynard,Marys Brook,,2790941.0,stream,MA,Middlesex,,430.0,2018-02-08,approved,42.47243,-71.4364,42.48256,-71.4349,Maynard
Lake Keewahtin,Halfbreed Lake,644575.0,lake,MN,Washington,,429.0,2018-02-08,approved,45.2483648,-92.898306,,,"Hugo, Forest Lake",Lake Keewahtin,Halfbreed Lake,644575.0,lake,MN,Washington,,429.0,2018-02-08,approved,45.2483648,-92.898306,,,"Hugo, Forest Lake",Lake Keewahtin,Halfbreed Lake,644575.0,lake,MN,Washington,,429.0,2018-02-08,approved,45.2483648,-92.898306,,,"Hugo, Forest Lake"
Lake Tarutis,,2790942.0,lake,MN,Beltrami,,429.0,2018-02-08,approved,47.47408,-94.93942,,,Bemidji West,Lake Tarutis,,2790942.0,lake,MN,Beltrami,,429.0,2018-02-08,approved,47.47408,-94.93942,,,Bemidji West,Lake Tarutis,,2790942.0,lake,MN,Beltrami,,429.0,2018-02-08,approved,47.47408,-94.93942,,,Bemidji West
Pittman Pond,,2790943.0,reservoir,NC,Robeson,,426.0,2018-02-08,approved,34.482538,-79.164937,,,Gaddysville,Pittman Pond,,2790943.0,reservoir,NC,Robeson,,426.0,2018-02-08,approved,34.482538,-79.164937,,,Gaddysville,Pittman Pond,,2790943.0,reservoir,NC,Robeson,,426.0,2018-02-08,approved,34.482538,-79.164937,,,Gaddysville
Bog River,Round Lake Outlet (in part),944392.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1288889,-74.545,44.0788889,-74.6852778,Piercefield (mouth),Bog River,Round Lake Outlet (in part),944392.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1288889,-74.545,44.078888899999995,-74.6852778,Piercefield (mouth),Bog River,Round Lake Outlet (in part),944392.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1288889,-74.545,44.0788889,-74.6852778,Piercefield (mouth)
Round Lake Outlet,Round Lake Outlet,975810.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1083333,-74.5530556,44.0869444,-74.5825,Little Tupper Lake (mouth),Round Lake Outlet,Round Lake Outlet,975810.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1083333,-74.5530556,44.08694439999999,-74.5825,Little Tupper Lake (mouth),Round Lake Outlet,Round Lake Outlet,975810.0,stream,NY,"St. Lawrence, Hamilton",,430.0,2018-02-08,approved,44.1083333,-74.5530556,44.08694439999999,-74.5825,Little Tupper Lake (mouth)
Bog River Falls,,2790944.0,falls,NY,St. Lawrence,,430.0,2018-02-08,approved,44.128641,-74.544951,,,Piercefield,Bog River Falls,,2790944.0,falls,NY,St. Lawrence,,430.0,2018-02-08,approved,44.128640999999995,-74.544951,,,Piercefield,Bog River Falls,,2790944.0,falls,NY,St. Lawrence,,430.0,2018-02-08,approved,44.128641,-74.544951,,,Piercefield
